example_idx,age,work_class,education,education_num,marital_status,occupation,role_in_family,capital_gain,work_hours_per_week,gender,race,true_label,ans_1,ans_2,ans_3,ans_4,ans_5,ans_6,ans_7,ans_8,ans_9,ans_10,ans_11,worker_id_1,worker_id_2,worker_id_3,worker_id_4,worker_id_5,worker_id_6,worker_id_7,worker_id_8,worker_id_9,worker_id_10,worker_id_11
10,31,Local-gov,High-school-grad,9,Divorced,Protective-serv,Not-in-family,0,47,Male,White,1,3,2,3,2,3,4,4,2,1,4,2,worker_239,worker_246,worker_251,worker_450,worker_278,worker_607,worker_147,worker_33,worker_177,worker_189,worker_535
11,59,Local-gov,Some-college,10,Civilian spouse,Exec-managerial,Husband,0,60,Male,White,1,4,2,4,3,3,4,4,2,2,3,3,worker_585,worker_383,worker_590,worker_455,worker_169,worker_401,worker_390,worker_381,worker_586,worker_640,worker_550
12,49,Private,Some-college,10,Civilian spouse,Adm-clerical,Husband,0,45,Male,White,1,2,4,3,2,2,4,3,3,3,3,4,worker_176,worker_233,worker_479,worker_292,worker_420,worker_181,worker_130,worker_640,worker_571,worker_96,worker_253
13,49,Self-employed (inc.),Prof-school,15,Civilian spouse,Prof-specialty,Husband,0,60,Male,White,1,3,4,4,4,3,3,4,3,2,4,3,worker_23,worker_174,worker_264,worker_51,worker_93,worker_370,worker_146,worker_291,worker_302,worker_640,worker_498
14,62,Private,Assoc-voc,11,Civilian spouse,Prof-specialty,Husband,7298,50,Male,White,1,3,3,4,4,3,4,4,3,4,2,3,worker_171,worker_339,worker_297,worker_475,worker_655,worker_169,worker_640,worker_311,worker_406,worker_159,worker_403
15,40,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,10520,40,Female,White,1,2,4,4,3,4,4,3,3,3,4,2,worker_315,worker_258,worker_191,worker_145,worker_521,worker_259,worker_327,worker_238,worker_23,worker_640,worker_472
16,32,Private,Some-college,10,Civilian spouse,Transport-moving,Husband,0,50,Male,White,1,2,2,3,4,1,3,2,2,3,2,3,worker_36,worker_453,worker_379,worker_291,worker_34,worker_44,worker_563,worker_435,worker_239,worker_62,worker_571
17,35,Private,Assoc-voc,11,Civilian spouse,Adm-clerical,Husband,0,44,Male,White,1,4,4,3,2,3,3,2,3,2,3,2,worker_513,worker_505,worker_44,worker_54,worker_554,worker_27,worker_640,worker_55,worker_19,worker_212,worker_144
18,46,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,8614,50,Male,White,1,3,4,2,1,4,4,4,3,1,3,3,worker_585,worker_383,worker_590,worker_455,worker_169,worker_401,worker_390,worker_381,worker_586,worker_640,worker_550
19,45,Private,Some-college,10,Civilian spouse,Sales,Husband,15024,99,Male,Black,1,4,4,3,3,2,3,2,3,2,4,2,worker_239,worker_185,worker_515,worker_491,worker_289,worker_577,worker_180,worker_421,worker_299,worker_640,worker_24
20,30,Private,Some-college,10,Civilian spouse,Prof-specialty,Husband,0,25,Male,White,1,2,1,2,3,3,3,4,3,2,1,2,worker_169,worker_427,worker_508,worker_447,worker_180,worker_191,worker_35,worker_572,worker_476,worker_640,worker_340
21,47,Private,Some-college,10,Divorced,Craft-repair,Unmarried,0,40,Male,White,1,2,3,4,3,2,2,2,2,3,2,4,worker_640,worker_37,worker_123,worker_617,worker_571,worker_380,worker_196,worker_564,worker_96,worker_124,worker_253
22,42,Private,Some-college,10,Civilian spouse,Craft-repair,Husband,3103,45,Male,White,1,2,3,2,4,4,2,4,3,2,3,3,worker_323,worker_106,worker_128,worker_393,worker_591,worker_292,worker_330,worker_400,worker_178,worker_374,worker_640
23,39,Private,Bachelors,13,Never-married,Sales,Not-in-family,8614,50,Female,White,1,2,4,3,3,3,3,2,3,3,2,2,worker_568,worker_201,worker_117,worker_438,worker_345,worker_86,worker_443,worker_111,worker_372,worker_613,worker_566
24,36,Private,Prof-school,15,Civilian spouse,Adm-clerical,Wife,0,15,Female,White,1,1,1,1,2,2,3,2,3,2,2,4,worker_640,worker_33,worker_531,worker_16,worker_392,worker_169,worker_200,worker_646,worker_93,worker_109,worker_21
25,47,Self-employed (not inc.),Prim-middle-school,3,Civilian spouse,Sales,Husband,0,55,Male,White,1,1,2,2,3,3,4,3,3,3,2,2,worker_537,worker_169,worker_628,worker_646,worker_349,worker_483,worker_640,worker_254,worker_532,worker_363,worker_154
26,51,Local-gov,High-school-grad,9,Civilian spouse,Transport-moving,Husband,0,40,Male,White,1,4,3,4,3,3,2,3,3,1,3,2,worker_14,worker_548,worker_253,worker_342,worker_383,worker_571,worker_640,worker_181,worker_73,worker_527,worker_310
27,46,Private,High-school,6,Civilian spouse,Transport-moving,Husband,0,40,Male,White,1,3,2,4,2,2,3,3,1,1,2,4,worker_152,worker_264,worker_231,worker_99,worker_286,worker_156,worker_463,worker_640,worker_549,worker_55,worker_631
28,50,Local-gov,Prof-school,15,Never-married,Exec-managerial,Not-in-family,0,52,Female,Black,1,4,4,3,4,2,2,4,3,4,3,2,worker_640,worker_103,worker_122,worker_396,worker_571,worker_303,worker_181,worker_119,worker_96,worker_9,worker_253
29,35,Private,Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,50,Male,White,1,3,3,3,3,3,2,4,2,4,4,3,worker_489,worker_472,worker_571,worker_361,worker_510,worker_4,worker_552,worker_100,worker_291,worker_187,worker_640
30,27,Self-employed (not inc.),Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,60,Male,White,1,4,3,4,2,4,4,2,3,3,3,3,worker_385,worker_362,worker_370,worker_499,worker_257,worker_35,worker_541,worker_640,worker_214,worker_538,worker_197
31,42,Self-employed (not inc.),Masters,14,Civilian spouse,Exec-managerial,Husband,0,50,Male,White,1,3,4,3,3,3,4,4,3,4,4,2,worker_244,worker_549,worker_52,worker_157,worker_577,worker_626,worker_191,worker_640,worker_583,worker_449,worker_225
32,34,Private,Bachelors,13,Civilian spouse,Sales,Husband,0,50,Male,White,1,4,4,4,4,3,4,3,4,2,3,4,worker_286,worker_421,worker_45,worker_292,worker_640,worker_425,worker_379,worker_109,worker_410,worker_458,worker_31
33,49,Self-employed (inc.),Masters,14,Divorced,Prof-specialty,Unmarried,99999,80,Male,White,1,4,4,4,4,4,1,4,4,4,4,4,worker_300,worker_90,worker_514,worker_14,worker_107,worker_58,worker_144,worker_557,worker_105,worker_92,worker_307
34,48,Federal-gov,Bachelors,13,Civilian spouse,Adm-clerical,Husband,0,48,Male,White,1,3,3,3,2,2,2,4,3,4,4,4,worker_400,worker_169,worker_450,worker_526,worker_509,worker_163,worker_465,worker_640,worker_594,worker_412,worker_422
35,55,Private,Some-college,10,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,2,4,3,2,3,2,4,4,4,3,2,worker_489,worker_472,worker_571,worker_361,worker_510,worker_4,worker_552,worker_100,worker_291,worker_187,worker_640
36,36,Private,Some-college,10,Civilian spouse,Craft-repair,Husband,0,50,Male,White,1,2,2,4,4,2,3,4,3,2,4,1,worker_135,worker_560,worker_175,worker_228,worker_250,worker_242,worker_636,worker_640,worker_167,worker_604,worker_211
37,52,Private,High-school-grad,9,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,2,4,3,2,2,2,3,2,2,2,4,worker_640,worker_253,worker_506,worker_10,worker_75,worker_652,worker_276,worker_15,worker_169,worker_55,worker_460
38,40,Self-employed (inc.),Assoc-acdm,12,Civilian spouse,Sales,Husband,15024,50,Male,White,1,3,4,3,2,4,4,3,3,4,2,4,worker_286,worker_379,worker_45,worker_292,worker_571,worker_463,worker_442,worker_65,worker_291,worker_314,worker_640
39,47,Private,Some-college,10,Civilian spouse,Craft-repair,Husband,7688,40,Male,Black,1,4,4,3,3,4,3,3,3,3,2,2,worker_434,worker_640,worker_103,worker_417,worker_536,worker_281,worker_622,worker_165,worker_378,worker_173,worker_55
40,30,Self-employed (inc.),Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,50,Male,White,1,4,3,4,3,4,2,3,3,4,3,3,worker_441,worker_55,worker_61,worker_488,worker_173,worker_165,worker_13,worker_640,worker_507,worker_275,worker_308
41,45,Self-employed (inc.),Bachelors,13,Civilian spouse,Machine-op-inspct,Husband,0,60,Male,White,1,4,2,4,3,4,4,3,4,4,4,3,worker_271,worker_55,worker_640,worker_577,worker_171,worker_286,worker_629,worker_391,worker_325,worker_528,worker_620
42,70,Self-employed (inc.),Some-college,10,Civilian spouse,Exec-managerial,Husband,0,20,Male,White,1,4,1,1,1,2,2,2,2,2,4,3,worker_419,worker_284,worker_316,worker_640,worker_88,worker_185,worker_293,worker_109,worker_598,worker_602,worker_421
43,44,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,0,50,Male,White,1,2,3,4,4,4,4,4,4,4,2,4,worker_268,worker_640,worker_96,worker_322,worker_285,worker_324,worker_136,worker_216,worker_25,worker_334,worker_102
44,29,Private,High-school-grad,9,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,3,2,2,4,3,3,1,2,1,4,2,worker_203,worker_171,worker_253,worker_202,worker_120,worker_490,worker_173,worker_55,worker_141,worker_605,worker_640
45,45,Federal-gov,Some-college,10,Civilian spouse,Transport-moving,Husband,0,65,Male,White,1,2,3,4,3,4,3,3,4,2,4,3,worker_563,worker_479,worker_209,worker_89,worker_379,worker_202,worker_571,worker_22,worker_623,worker_291,worker_640
46,43,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,0,50,Female,Black,1,4,3,4,4,2,3,2,4,3,4,3,worker_640,worker_292,worker_253,worker_587,worker_643,worker_479,worker_98,worker_573,worker_181,worker_96,worker_179
47,32,Private,Some-college,10,Civilian spouse,Prof-specialty,Husband,0,38,Male,White,1,4,4,2,3,2,2,2,2,2,2,3,worker_585,worker_383,worker_590,worker_455,worker_169,worker_401,worker_390,worker_381,worker_586,worker_640,worker_550
48,47,Self-employed (inc.),Bachelors,13,Divorced,Exec-managerial,Unmarried,0,60,Female,White,1,4,3,2,4,4,4,3,4,4,3,3,worker_169,worker_427,worker_508,worker_447,worker_180,worker_191,worker_35,worker_572,worker_476,worker_640,worker_340
49,59,Private,Some-college,10,Civilian spouse,Tech-support,Husband,0,40,Male,White,1,2,4,4,3,2,2,4,3,4,1,4,worker_182,worker_373,worker_357,worker_449,worker_640,worker_455,worker_204,worker_190,worker_3,worker_70,worker_132
50,43,Self-employed (not inc.),Bachelors,13,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,2,3,3,2,3,3,4,2,3,2,3,worker_489,worker_472,worker_571,worker_361,worker_510,worker_4,worker_552,worker_100,worker_291,worker_187,worker_640
51,29,Private,High-school-grad,9,Civilian spouse,Craft-repair,Husband,0,45,Male,White,1,3,3,2,2,3,2,2,2,2,3,3,worker_138,worker_256,worker_253,worker_8,worker_70,worker_640,worker_619,worker_277,worker_458,worker_571,worker_358
52,61,Private,Some-college,10,Civilian spouse,Sales,Husband,0,44,Male,White,1,3,2,2,4,3,3,4,2,4,2,4,worker_169,worker_427,worker_508,worker_447,worker_180,worker_191,worker_35,worker_572,worker_476,worker_640,worker_340
53,64,Self-employed (not inc.),Bachelors,13,Civilian spouse,Prof-specialty,Husband,0,24,Male,White,1,3,2,3,3,3,3,2,1,4,4,2,worker_252,worker_160,worker_480,worker_647,worker_289,worker_525,worker_561,worker_640,worker_375,worker_426,worker_115
54,53,Private,Some-college,10,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,3,2,3,2,3,3,2,3,2,1,3,worker_239,worker_185,worker_515,worker_491,worker_289,worker_577,worker_180,worker_421,worker_299,worker_640,worker_24
55,39,Private,Bachelors,13,Civilian spouse,Sales,Husband,0,40,Male,White,1,4,4,4,3,3,2,3,4,3,4,4,worker_419,worker_284,worker_316,worker_640,worker_88,worker_185,worker_293,worker_109,worker_598,worker_602,worker_421
56,32,Private,High-school,7,Divorced,Sales,Not-in-family,0,43,Male,White,1,2,1,3,2,3,2,2,3,2,1,2,worker_23,worker_174,worker_264,worker_51,worker_93,worker_370,worker_146,worker_291,worker_302,worker_640,worker_498
57,34,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,2,2,3,2,4,3,4,3,2,4,3,worker_295,worker_485,worker_551,worker_640,worker_169,worker_91,worker_429,worker_601,worker_411,worker_549,worker_522
58,43,Private,Some-college,10,Civilian spouse,Prof-specialty,Husband,5178,40,Male,White,1,3,3,2,3,2,3,3,2,3,3,4,worker_433,worker_421,worker_30,worker_640,worker_94,worker_301,worker_68,worker_145,worker_414,worker_563,worker_479
59,41,Private,Bachelors,13,Civilian spouse,Craft-repair,Husband,0,50,Male,White,1,4,3,1,2,3,3,4,2,3,2,2,worker_434,worker_640,worker_103,worker_417,worker_536,worker_281,worker_622,worker_165,worker_378,worker_173,worker_55
60,63,State-gov,Prof-school,15,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,3,4,3,3,4,2,4,4,3,3,3,worker_489,worker_472,worker_571,worker_361,worker_510,worker_4,worker_552,worker_100,worker_291,worker_187,worker_640
61,54,State-gov,Doctorate,16,Civilian spouse,Prof-specialty,Husband,0,46,Male,White,1,4,4,4,3,4,3,4,4,1,4,1,worker_135,worker_560,worker_175,worker_228,worker_250,worker_242,worker_636,worker_640,worker_167,worker_604,worker_211
62,29,Self-employed (inc.),Doctorate,16,Civilian spouse,Prof-specialty,Husband,0,35,Male,White,1,2,3,4,4,2,4,4,3,3,4,2,worker_292,worker_192,worker_321,worker_405,worker_253,worker_640,worker_96,worker_571,worker_269,worker_384,worker_290
63,34,Private,Bachelors,13,Civilian spouse,Sales,Husband,0,47,Male,White,1,3,4,3,3,3,4,4,3,3,3,2,worker_599,worker_301,worker_640,worker_546,worker_253,worker_316,worker_646,worker_649,worker_400,worker_479,worker_611
64,30,Private,Some-college,10,Civilian spouse,Machine-op-inspct,Husband,0,40,Male,White,1,2,3,2,2,4,2,3,2,2,3,2,worker_361,worker_369,worker_225,worker_634,worker_209,worker_279,worker_523,worker_173,worker_640,worker_18,worker_55
65,32,Self-employed (inc.),Bachelors,13,Civilian spouse,Exec-managerial,Husband,99999,60,Male,White,1,2,4,3,4,4,4,4,4,4,4,4,worker_436,worker_603,worker_470,worker_341,worker_18,worker_136,worker_588,worker_640,worker_612,worker_229,worker_571
66,33,Private,High-school,7,Civilian spouse,Craft-repair,Husband,0,45,Male,White,1,4,3,3,1,3,3,2,2,2,2,2,worker_577,worker_53,worker_544,worker_640,worker_617,worker_553,worker_305,worker_216,worker_455,worker_364,worker_182
67,37,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,0,40,Female,White,1,3,4,4,4,3,4,4,3,3,4,3,worker_640,worker_33,worker_531,worker_16,worker_392,worker_169,worker_200,worker_646,worker_93,worker_109,worker_21
68,31,Private,Bachelors,13,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,3,3,3,2,2,4,4,3,3,3,2,worker_571,worker_206,worker_180,worker_45,worker_96,worker_291,worker_287,worker_262,worker_87,worker_640,worker_442
69,37,Private,Bachelors,13,Separated,Exec-managerial,Not-in-family,4787,55,Male,White,1,3,4,3,4,1,3,4,4,4,4,2,worker_576,worker_110,worker_606,worker_529,worker_621,worker_581,worker_477,worker_418,worker_454,worker_539,worker_86
70,41,Private,High-school-grad,9,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,3,2,2,2,2,3,3,4,2,2,3,worker_315,worker_258,worker_191,worker_145,worker_521,worker_259,worker_327,worker_238,worker_23,worker_640,worker_472
71,33,Private,High-school-grad,9,Never-married,Prof-specialty,Not-in-family,0,60,Male,White,1,2,1,3,3,2,3,4,2,2,2,3,worker_97,worker_162,worker_565,worker_178,worker_640,worker_471,worker_386,worker_571,worker_510,worker_648,worker_559
72,37,Private,Some-college,10,Civilian spouse,Tech-support,Husband,0,40,Male,White,1,2,2,4,3,3,3,4,2,3,3,1,worker_135,worker_560,worker_175,worker_228,worker_250,worker_242,worker_636,worker_640,worker_167,worker_604,worker_211
73,39,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,8614,40,Female,White,1,3,4,4,4,3,4,3,4,3,3,3,worker_205,worker_578,worker_354,worker_289,worker_577,worker_640,worker_261,worker_169,worker_226,worker_540,worker_249
74,35,Local-gov,Masters,14,Civilian spouse,Prof-specialty,Wife,15024,50,Female,White,1,4,4,2,4,3,2,4,1,4,4,3,worker_640,worker_103,worker_122,worker_396,worker_571,worker_303,worker_181,worker_119,worker_96,worker_9,worker_253
75,52,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,15024,50,Male,White,1,4,4,2,4,4,4,3,4,4,4,3,worker_286,worker_421,worker_45,worker_292,worker_640,worker_425,worker_379,worker_109,worker_410,worker_458,worker_31
76,42,Local-gov,Bachelors,13,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,3,3,4,2,3,2,3,3,4,3,3,worker_441,worker_55,worker_61,worker_488,worker_173,worker_165,worker_13,worker_640,worker_507,worker_275,worker_308
77,35,Private,Some-college,10,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,3,3,2,4,2,3,2,1,3,4,3,worker_456,worker_188,worker_640,worker_45,worker_549,worker_103,worker_236,worker_455,worker_653,worker_241,worker_421
78,37,Private,Bachelors,13,Civilian spouse,Prof-specialty,Other-relative,0,40,Male,White,1,3,3,3,3,3,3,4,3,3,3,3,worker_571,worker_397,worker_352,worker_379,worker_365,worker_312,worker_510,worker_640,worker_121,worker_637,worker_291
79,33,Private,Masters,14,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,4,3,4,3,4,4,4,4,4,3,4,worker_381,worker_653,worker_379,worker_640,worker_571,worker_510,worker_170,worker_421,worker_467,worker_347,worker_557
80,50,Self-employed (inc.),Masters,14,Civilian spouse,Sales,Husband,0,40,Male,White,1,2,3,3,4,4,3,4,4,3,2,3,worker_268,worker_640,worker_96,worker_322,worker_285,worker_324,worker_136,worker_216,worker_25,worker_334,worker_102
81,34,Private,Bachelors,13,Never-married,Sales,Not-in-family,99999,50,Male,White,1,4,4,3,3,4,4,2,4,3,4,4,worker_286,worker_379,worker_45,worker_292,worker_571,worker_463,worker_442,worker_65,worker_291,worker_314,worker_640
82,55,Private,High-school-grad,9,Civilian spouse,Farming-fishing,Husband,0,45,Male,White,1,2,2,2,1,1,1,2,3,4,3,2,worker_466,worker_455,worker_234,worker_547,worker_125,worker_157,worker_640,worker_296,worker_194,worker_421,worker_217
83,57,Self-employed (inc.),Masters,14,Civilian spouse,Sales,Husband,0,50,Male,White,1,4,3,3,3,3,4,4,4,4,4,3,worker_381,worker_653,worker_379,worker_640,worker_571,worker_510,worker_170,worker_421,worker_467,worker_347,worker_557
84,40,Private,Some-college,10,Civilian spouse,Adm-clerical,Husband,5178,60,Male,White,1,4,4,2,4,4,2,3,2,3,3,4,worker_266,worker_253,worker_306,worker_131,worker_640,worker_243,worker_646,worker_367,worker_570,worker_421,worker_479
85,41,Private,Assoc-acdm,12,Civilian spouse,Sales,Husband,0,45,Male,White,1,3,2,4,2,3,2,3,2,2,4,3,worker_640,worker_597,worker_280,worker_292,worker_571,worker_237,worker_395,worker_168,worker_542,worker_351,worker_409
86,34,Federal-gov,Bachelors,13,Civilian spouse,Protective-serv,Husband,7298,54,Male,White,1,3,4,4,2,3,3,3,4,3,4,3,worker_253,worker_169,worker_640,worker_610,worker_346,worker_6,worker_145,worker_646,worker_288,worker_421,worker_368
87,46,Private,Some-college,10,Civilian spouse,Transport-moving,Husband,0,40,Male,White,1,4,4,4,2,3,2,1,3,2,4,1,worker_40,worker_616,worker_439,worker_129,worker_613,worker_164,worker_337,worker_289,worker_81,worker_500,worker_640
88,32,Private,High-school-grad,9,Never-married,Craft-repair,Not-in-family,4787,40,Male,White,1,2,1,3,4,2,2,2,3,3,2,3,worker_624,worker_577,worker_148,worker_640,worker_218,worker_79,worker_41,worker_558,worker_304,worker_614,worker_421
89,42,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,0,45,Male,White,1,2,3,4,3,3,4,4,3,3,3,3,worker_57,worker_127,worker_549,worker_487,worker_640,worker_461,worker_2,worker_577,worker_140,worker_611,worker_207
90,66,Self-employed (inc.),High-school-grad,9,Widowed,Exec-managerial,Not-in-family,0,86,Male,White,1,4,4,4,3,4,4,4,4,2,4,4,worker_176,worker_233,worker_479,worker_292,worker_420,worker_181,worker_130,worker_640,worker_571,worker_96,worker_253
91,48,Private,Bachelors,13,Civilian spouse,Craft-repair,Husband,0,45,Male,White,1,2,3,4,3,4,3,4,3,4,3,4,worker_30,worker_350,worker_646,worker_442,worker_342,worker_640,worker_94,worker_169,worker_115,worker_114,worker_451
92,46,State-gov,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,0,38,Male,White,1,2,2,3,1,3,3,2,3,2,3,2,worker_650,worker_627,worker_52,worker_371,worker_86,worker_360,worker_640,worker_29,worker_222,worker_16,worker_118
93,74,Self-employed (not inc.),High-school-grad,9,Civilian spouse,Sales,Husband,0,40,Male,White,1,1,3,2,4,4,2,2,2,4,2,2,worker_150,worker_96,worker_292,worker_208,worker_637,worker_611,worker_571,worker_346,worker_253,worker_640,worker_103
94,33,Private,High-school-grad,9,Civilian spouse,Sales,Husband,0,40,Male,White,1,2,2,2,2,3,3,2,3,3,3,2,worker_235,worker_520,worker_169,worker_479,worker_563,worker_333,worker_640,worker_399,worker_646,worker_421,worker_56
95,35,Federal-gov,Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,3,3,4,3,3,3,4,3,3,4,4,worker_292,worker_192,worker_321,worker_405,worker_253,worker_640,worker_96,worker_571,worker_269,worker_384,worker_290
96,43,Private,Some-college,10,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,2,3,3,1,2,2,3,3,3,3,3,worker_97,worker_162,worker_565,worker_178,worker_640,worker_471,worker_386,worker_571,worker_510,worker_648,worker_559
97,48,Self-employed (inc.),Prof-school,15,Civilian spouse,Prof-specialty,Husband,99999,48,Male,White,1,3,4,3,4,3,1,4,4,4,4,4,worker_236,worker_169,worker_12,worker_640,worker_440,worker_450,worker_153,worker_116,worker_96,worker_603,worker_265
98,39,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,0,55,Male,White,1,3,2,4,4,4,2,2,4,4,3,4,worker_441,worker_55,worker_61,worker_488,worker_173,worker_165,worker_13,worker_640,worker_507,worker_275,worker_308
99,48,Private,Bachelors,13,Divorced,Sales,Not-in-family,0,40,Male,Black,1,4,2,3,2,3,1,3,3,4,1,3,worker_253,worker_52,worker_326,worker_111,worker_618,worker_104,worker_329,worker_646,worker_421,worker_43,worker_640
100,30,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,10520,40,Male,White,1,4,2,4,3,4,4,4,4,4,4,4,worker_567,worker_366,worker_571,worker_253,worker_67,worker_545,worker_181,worker_640,worker_292,worker_353,worker_457
101,64,Private,Bachelors,13,Civilian spouse,Exec-managerial,Husband,15024,40,Male,White,1,3,4,2,2,4,4,4,4,4,4,4,worker_400,worker_169,worker_450,worker_526,worker_509,worker_163,worker_465,worker_640,worker_594,worker_412,worker_422
102,58,Private,Assoc-acdm,12,Civilian spouse,Exec-managerial,Husband,5178,60,Male,White,1,3,3,3,2,4,3,3,4,2,4,3,worker_239,worker_185,worker_515,worker_491,worker_289,worker_577,worker_180,worker_421,worker_299,worker_640,worker_24
103,36,Local-gov,Some-college,10,Civilian spouse,Prof-specialty,Husband,0,40,Male,Black,1,2,2,2,2,2,3,4,4,2,2,4,worker_44,worker_640,worker_642,worker_571,worker_100,worker_500,worker_253,worker_149,worker_611,worker_292,worker_233
104,25,Private,High-school,8,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,2,3,2,4,2,3,4,4,2,2,2,worker_323,worker_106,worker_128,worker_393,worker_591,worker_292,worker_330,worker_400,worker_178,worker_374,worker_640
105,36,Private,Some-college,10,Civilian spouse,Sales,Husband,5178,40,Male,White,1,4,2,3,2,2,3,2,3,2,2,3,worker_44,worker_518,worker_253,worker_640,worker_96,worker_355,worker_134,worker_571,worker_556,worker_387,worker_501
106,73,Self-employed (not inc.),Prim-middle-school,4,Civilian spouse,Farming-fishing,Husband,6418,99,Male,White,1,4,2,3,2,3,2,3,1,2,2,2,worker_640,worker_597,worker_280,worker_292,worker_571,worker_237,worker_395,worker_168,worker_542,worker_351,worker_409
107,48,Private,High-school-grad,9,Civilian spouse,Handlers-cleaners,Husband,0,35,Male,White,1,2,2,2,3,3,2,2,4,2,1,3,worker_271,worker_55,worker_640,worker_577,worker_171,worker_286,worker_629,worker_391,worker_325,worker_528,worker_620
108,47,Federal-gov,High-school-grad,9,Civilian spouse,Adm-clerical,Husband,0,40,Male,Black,1,4,1,3,2,2,3,2,4,4,3,3,worker_443,worker_640,worker_421,worker_571,worker_630,worker_213,worker_575,worker_333,worker_282,worker_232,worker_473
